size: 5120.000000 MiB, n (=2)  % 16 != 0.....
size: 25600.000000 MiB, n (=3)  % 16 != 0.....
size: 46080.000000 MiB, n (=4)  % 16 != 0.....
size: 66560.000000 MiB, n (=5)  % 16 != 0.....
size: 87040.000000 MiB, n (=5)  % 16 != 0.....
size: 107520.000000 MiB, n (=6)  % 16 != 0.....
size: 128000.000000 MiB, n (=6)  % 16 != 0.....
size: 148480.000000 MiB, n (=6)  % 16 != 0.....
size: 168960.000000 MiB, n (=7)  % 16 != 0.....
size: 189440.000000 MiB, n (=7)  % 16 != 0.....
size: 209920.000000 MiB, n (=7)  % 16 != 0.....
Thread 0: 0.000004 s, 1.758287 GiB/s 
Thread 1: 0.000004 s, 1.758456 GiB/s 
Thread 2: 0.000004 s, 1.759145 GiB/s 
Thread 3: 0.000004 s, 1.770510 GiB/s 
Thread 4: 0.000004 s, 1.770688 GiB/s 
Thread 5: 0.000004 s, 1.739286 GiB/s 
Thread 6: 0.000004 s, 1.739600 GiB/s 
Thread 7: 0.000004 s, 1.764962 GiB/s 
Thread 8: 0.000004 s, 1.770763 GiB/s 
Thread 9: 0.000004 s, 1.750157 GiB/s 
Thread 10: 0.000004 s, 1.759062 GiB/s 
Thread 11: 0.000004 s, 1.747896 GiB/s 
Thread 12: 0.000004 s, 1.764242 GiB/s 
Thread 13: 0.000004 s, 1.744575 GiB/s 
Thread 14: 0.000004 s, 1.763898 GiB/s 
Thread 15: 0.000004 s, 1.772522 GiB/s 
Thread 16: 0.000004 s, 1.776248 GiB/s 
Thread 17: 0.000004 s, 1.775468 GiB/s 
Thread 18: 0.000004 s, 1.778247 GiB/s 
Thread 19: 0.000004 s, 1.777885 GiB/s 
Thread 20: 0.000004 s, 1.777930 GiB/s 
Thread 21: 0.000004 s, 1.760528 GiB/s 
Thread 22: 0.000004 s, 1.760088 GiB/s 
Thread 23: 0.000004 s, 1.764954 GiB/s 
Thread 24: 0.000004 s, 1.763664 GiB/s 
Thread 25: 0.000004 s, 1.764118 GiB/s 
Thread 26: 0.000004 s, 1.764666 GiB/s 
Thread 27: 0.000004 s, 1.755618 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_unrolled04,wss:230400,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):8.000000,AvgTestRunTime(s):0.000005,CumulativeMemoryBandwidth(GiB/s):45.584509,TotalRunTime(s):0.046863,WSS(MiB):0.218750,
Thread 0: 0.000004 s, 1.761999 GiB/s 
Thread 1: 0.000004 s, 1.737544 GiB/s 
Thread 2: 0.000004 s, 1.757433 GiB/s 
Thread 3: 0.000004 s, 1.758634 GiB/s 
Thread 4: 0.000004 s, 1.755967 GiB/s 
Thread 5: 0.000004 s, 1.752955 GiB/s 
Thread 6: 0.000004 s, 1.754737 GiB/s 
Thread 7: 0.000004 s, 1.750785 GiB/s 
Thread 8: 0.000004 s, 1.760757 GiB/s 
Thread 9: 0.000004 s, 1.754223 GiB/s 
Thread 10: 0.000004 s, 1.764643 GiB/s 
Thread 11: 0.000004 s, 1.752813 GiB/s 
Thread 12: 0.000004 s, 1.761043 GiB/s 
